DATE,BOGZ1FU895050005A
1946-01-01,53699.0
1947-01-01,63265.0
1948-01-01,81774.0
1949-01-01,75590.0
1950-01-01,98677.0
1951-01-01,112300.0
1952-01-01,111302.0
1953-01-01,120195.0
1954-01-01,116073.0
1955-01-01,136912.0
1956-01-01,142869.0
1957-01-01,146209.0
1958-01-01,140264.0
1959-01-01,163303.0
1960-01-01,165064.0
1961-01-01,167668.0
1962-01-01,185720.0
1963-01-01,198000.0
1964-01-01,213706.0
1965-01-01,239237.0
1966-01-01,264630.0
1967-01-01,269210.0
1968-01-01,295567.0
1969-01-01,316940.0
1970-01-01,313459.0
1971-01-01,350466.0
1972-01-01,395905.0
1973-01-01,453569.0
1974-01-01,471610.0
1975-01-01,473409.0
1976-01-01,568165.0
1977-01-01,666879.0
1978-01-01,782163.0
1979-01-01,870678.0
1980-01-01,876448.0
1981-01-01,1005369.0
1982-01-01,970648.0
1983-01-01,1079731.0
1984-01-01,1330088.0
1985-01-01,1404182.0
1986-01-01,1483867.0
1987-01-01,1562177.0
1988-01-01,1637290.0
1989-01-01,1730084.0
1990-01-01,1748826.0
1991-01-01,1684837.0
1992-01-01,1785563.0
1993-01-01,1915015.0
1994-01-01,2111124.0
1995-01-01,2211305.0
1996-01-01,2374263.0
1997-01-01,2580649.0
1998-01-01,2802305.0
1999-01-01,3050031.0
2000-01-01,3296828.0
2001-01-01,3233401.0
2002-01-01,3298678.0
2003-01-01,3446398.0
2004-01-01,3779365.0
2005-01-01,4101630.0
2006-01-01,4334233.0
2007-01-01,4378212.0
2008-01-01,4143540.0
2009-01-01,3529316.0
2010-01-01,3788644.0
2011-01-01,3990408.0
2012-01-01,4320660.0
2013-01-01,4540536.0
2014-01-01,4807244.0
2015-01-01,5074318.0
2016-01-01,5101257.0
2017-01-01,5353168.0
2018-01-01,5709649.0
2019-01-01,5979612.0
2020-01-01,5931828.0
